School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
SAN JUAN ISLAND SCHOOL DISTRICT,2014-15,48,79.2%,2.1%,6.3%,12.5%,4.2%,8.3%,2.1%,0.0%,85.4%,85.4%,89.6%,83.3%,89.6%,81.3%,38,1,3,6,2,4,1,0,7,7,5,8,5,9
SATSOP SCHOOL DISTRICT,2014-15,9,66.7%,0.0%,11.1%,22.2%,11.1%,22.2%,0.0%,0.0%,77.8%,77.8%,77.8%,77.8%,66.7%,66.7%,6,0,1,2,1,2,0,0,2,2,2,2,3,3
SEATTLE PUBLIC SCHOOLS,2014-15,6122,71.8%,1.2%,22.4%,4.6%,1.2%,3.4%,0.1%,0.0%,97.9%,98.1%,83.5%,81.4%,87.4%,80.3%,4393,75,1370,284,76,209,6,3,126,118,1012,1136,770,1203
SEDRO-WOOLLEY SCHOOL DISTRICT,2014-15,326,87.7%,4.9%,0.6%,6.7%,1.5%,4.6%,0.3%,0.3%,92.3%,92.3%,91.4%,92.0%,92.0%,89.9%,286,16,2,22,5,15,1,1,25,25,28,26,26,33
SELAH SCHOOL DISTRICT,2014-15,259,86.1%,3.1%,8.1%,2.7%,0.8%,1.9%,0.0%,0.0%,90.0%,90.0%,91.5%,91.5%,96.1%,91.1%,223,8,21,7,2,5,0,0,26,26,22,22,10,23
SELKIRK SCHOOL DISTRICT,2014-15,16,81.3%,12.5%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,100.0%,81.3%,13,2,0,1,0,1,0,0,2,2,2,2,0,3
SEQUIM SCHOOL DISTRICT,2014-15,15,66.7%,13.3%,6.7%,13.3%,0.0%,13.3%,0.0%,0.0%,86.7%,86.7%,80.0%,80.0%,86.7%,80.0%,10,2,1,2,0,2,0,0,2,2,3,3,2,3
SHAW ISLAND SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHELTON SCHOOL DISTRICT,2014-15,299,83.9%,1.3%,11.0%,3.7%,1.3%,1.7%,0.3%,0.3%,86.6%,86.6%,89.0%,85.6%,95.0%,88.0%,251,4,33,11,4,5,1,1,40,40,33,43,15,36
SHORELINE SCHOOL DISTRICT,2014-15,891,82.9%,5.9%,3.3%,7.9%,1.3%,6.4%,0.1%,0.0%,90.5%,90.5%,91.0%,89.1%,90.6%,88.1%,739,53,29,70,12,57,1,0,85,85,80,97,84,106
SKAMANIA SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKYKOMISH SCHOOL DISTRICT,2014-15,6,0.0%,16.7%,33.3%,50.0%,16.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,0,1,2,3,1,2,0,0,6,6,6,6,5,6
SNOHOMISH SCHOOL DISTRICT,2014-15,630,84.4%,1.4%,4.8%,9.4%,3.2%,5.9%,0.5%,0.0%,91.3%,91.3%,90.5%,90.3%,90.5%,87.5%,532,9,30,59,20,37,3,0,55,55,60,61,60,79
SNOQUALMIE VALLEY SCHOOL DISTRICT,2014-15,546,87.9%,2.2%,2.7%,7.1%,1.5%,5.9%,0.0%,0.0%,92.5%,92.9%,92.1%,92.1%,92.3%,90.1%,480,12,15,39,8,32,0,0,41,39,43,43,42,54
SOAP LAKE SCHOOL DISTRICT,2014-15,26,69.2%,3.8%,23.1%,3.8%,3.8%,0.0%,0.0%,0.0%,80.8%,80.8%,76.9%,76.9%,92.3%,80.8%,18,1,6,1,1,0,0,0,5,5,6,6,2,5
SOUTH BEND SCHOOL DISTRICT,2014-15,38,81.6%,2.6%,15.8%,0.0%,0.0%,0.0%,0.0%,0.0%,86.8%,86.8%,89.5%,81.6%,89.5%,92.1%,31,1,6,0,0,0,0,0,5,5,4,7,4,3
SOUTH KITSAP SCHOOL DISTRICT,2014-15,751,91.6%,2.5%,1.2%,4.7%,1.5%,3.1%,0.1%,0.0%,93.5%,93.5%,93.9%,94.0%,95.3%,92.9%,688,19,9,35,11,23,1,0,49,49,46,45,35,53
SOUTH WHIDBEY SCHOOL DISTRICT,2014-15,86,69.8%,2.3%,16.3%,11.6%,5.8%,4.7%,1.2%,0.0%,76.7%,76.7%,77.9%,74.4%,82.6%,76.7%,60,2,14,10,5,4,1,0,20,20,19,22,15,20
SOUTHSIDE SCHOOL DISTRICT,2014-15,20,85.0%,5.0%,0.0%,10.0%,0.0%,10.0%,0.0%,0.0%,85.0%,85.0%,90.0%,85.0%,85.0%,90.0%,17,1,0,2,0,2,0,0,3,3,2,3,3,2
SPOKANE SCHOOL DISTRICT,2014-15,2919,68.8%,0.9%,24.6%,5.7%,0.3%,3.6%,0.5%,0.1%,79.2%,79.3%,81.2%,78.5%,86.9%,77.3%,2009,25,718,167,8,104,14,4,607,604,548,629,381,663
SPRAGUE SCHOOL DISTRICT,2014-15,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. JOHN SCHOOL DISTRICT,2014-15,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0
STANWOOD-CAMANO SCHOOL DISTRICT,2014-15,280,57.5%,4.3%,33.6%,4.6%,1.8%,2.9%,0.0%,0.0%,67.9%,67.5%,68.2%,67.9%,77.9%,64.6%,161,12,94,13,5,8,0,0,90,91,89,90,62,99
STAR SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARBUCK SCHOOL DISTRICT,2014-15,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
STEHEKIN SCHOOL DISTRICT,2014-15,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STEILACOOM HIST. SCHOOL DISTRICT,2014-15,213,70.9%,2.3%,22.5%,4.2%,0.5%,2.8%,0.9%,0.0%,85.4%,85.4%,85.9%,81.7%,90.6%,80.3%,151,5,48,9,1,6,2,0,31,31,30,39,20,42
STEPTOE SCHOOL DISTRICT,2014-15,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0
STEVENSON-CARSON SCHOOL DISTRICT,2014-15,69,71.0%,1.4%,18.8%,8.7%,2.9%,5.8%,0.0%,0.0%,81.2%,81.2%,81.2%,79.7%,85.5%,75.4%,49,1,13,6,2,4,0,0,13,13,13,14,10,17
SULTAN SCHOOL DISTRICT,2014-15,146,67.8%,0.0%,30.1%,2.1%,1.4%,0.7%,0.0%,0.0%,74.0%,74.0%,81.5%,96.6%,82.2%,72.6%,99,0,44,3,2,1,0,0,38,38,27,5,26,40
SUMMIT VALLEY SCHOOL DISTRICT,2014-15,11,63.6%,9.1%,0.0%,27.3%,0.0%,27.3%,0.0%,0.0%,63.6%,63.6%,72.7%,72.7%,72.7%,72.7%,7,1,0,3,0,3,0,0,4,4,3,3,3,3
SUMNER SCHOOL DISTRICT,2014-15,650,83.4%,1.2%,10.2%,5.2%,2.2%,3.2%,0.2%,0.0%,89.4%,89.4%,88.9%,87.8%,92.5%,87.4%,542,8,66,34,14,21,1,0,69,69,72,79,49,82
SUNNYSIDE SCHOOL DISTRICT,2014-15,568,96.7%,0.9%,1.9%,0.5%,0.2%,0.4%,0.0%,0.0%,98.6%,98.6%,97.4%,98.6%,99.3%,97.9%,549,5,11,3,1,2,0,0,8,8,15,8,4,12
TACOMA SCHOOL DISTRICT,2014-15,2716,79.6%,0.9%,16.3%,3.1%,0.9%,2.1%,0.1%,0.1%,88.3%,97.1%,87.8%,86.1%,92.1%,86.5%,2163,25,443,85,24,56,3,3,319,80,331,377,215,368
TAHOLAH SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAHOMA SCHOOL DISTRICT,2014-15,602,84.4%,1.5%,8.6%,5.5%,0.3%,4.8%,0.3%,0.0%,90.5%,90.2%,90.4%,89.0%,92.2%,89.9%,508,9,52,33,2,29,2,0,57,59,58,66,47,61
TEKOA SCHOOL DISTRICT,2014-15,11,90.9%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,90.9%,100.0%,90.9%,90.9%,90.9%,90.9%,10,0,1,0,0,0,0,0,1,0,1,1,1,1
TENINO SCHOOL DISTRICT,2014-15,98,88.8%,1.0%,9.2%,1.0%,1.0%,1.0%,0.0%,0.0%,88.8%,88.8%,90.8%,89.8%,96.9%,89.8%,87,1,9,1,1,1,0,0,11,11,9,10,3,10
THORP SCHOOL DISTRICT,2014-15,14,78.6%,14.3%,0.0%,7.1%,7.1%,0.0%,0.0%,0.0%,85.7%,92.9%,85.7%,92.9%,92.9%,78.6%,11,2,0,1,1,0,0,0,2,1,2,1,1,3
TOLEDO SCHOOL DISTRICT,2014-15,42,85.7%,4.8%,7.1%,2.4%,2.4%,0.0%,0.0%,0.0%,95.2%,95.2%,97.6%,90.5%,95.2%,92.9%,36,2,3,1,1,0,0,0,2,2,1,4,2,3
TONASKET SCHOOL DISTRICT,2014-15,90,73.3%,2.2%,20.0%,4.4%,0.0%,3.3%,1.1%,0.0%,82.2%,82.2%,83.3%,81.1%,90.0%,81.1%,66,2,18,4,0,3,1,0,16,16,15,17,9,17
TOPPENISH SCHOOL DISTRICT,2014-15,350,96.9%,0.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,98.9%,98.9%,99.1%,98.6%,99.1%,98.9%,339,0,11,0,0,0,0,0,4,4,3,5,3,4
TOUCHET SCHOOL DISTRICT,2014-15,20,95.0%,0.0%,0.0%,5.0%,0.0%,5.0%,0.0%,0.0%,100.0%,100.0%,100.0%,95.0%,100.0%,100.0%,19,0,0,1,0,1,0,0,0,0,0,1,0,0
TOUTLE LAKE SCHOOL DISTRICT,2014-15,39,74.4%,0.0%,20.5%,5.1%,0.0%,5.1%,0.0%,0.0%,82.1%,82.1%,79.5%,82.1%,87.2%,76.9%,29,0,8,2,0,2,0,0,7,7,8,7,5,9
TROUT LAKE SCHOOL DISTRICT,2014-15,16,62.5%,12.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,81.3%,81.3%,81.3%,75.0%,81.3%,62.5%,10,2,4,0,0,0,0,0,3,3,3,4,3,6
TUKWILA SCHOOL DISTRICT,2014-15,285,86.7%,3.9%,7.0%,2.5%,1.1%,1.4%,0.0%,0.0%,89.8%,89.8%,92.3%,91.2%,94.4%,92.6%,247,11,20,7,3,4,0,0,29,29,22,25,16,21
TUMWATER SCHOOL DISTRICT,2014-15,470,81.7%,1.9%,9.8%,6.6%,1.3%,5.1%,0.0%,0.4%,89.8%,89.8%,88.1%,88.1%,89.6%,88.1%,384,9,46,31,6,24,0,2,48,48,56,56,49,56
UNION GAP SCHOOL DISTRICT,2014-15,65,50.8%,4.6%,44.6%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,72.3%,63.1%,96.9%,67.7%,33,3,29,0,0,0,0,0,26,26,18,24,2,21
UNIVERSITY PLACE SCHOOL DISTRICT,2014-15,393,82.2%,0.3%,12.5%,5.1%,1.8%,3.3%,0.0%,0.0%,89.8%,89.8%,90.6%,88.0%,92.9%,88.3%,323,1,49,20,7,13,0,0,40,40,37,47,28,46
VALLEY SCHOOL DISTRICT,2014-15,22,86.4%,4.5%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,95.5%,100.0%,90.9%,19,1,2,0,0,0,0,0,0,0,0,1,0,2
VANCOUVER SCHOOL DISTRICT,2014-15,1922,79.9%,3.0%,11.7%,5.4%,0.8%,4.3%,0.3%,0.1%,86.5%,86.4%,87.3%,86.5%,90.2%,86.0%,1536,58,224,104,16,83,5,1,260,261,244,260,188,270
VASHON ISLAND SCHOOL DISTRICT,2014-15,80,48.8%,8.8%,20.0%,22.5%,3.8%,18.8%,0.0%,0.0%,75.0%,75.0%,77.5%,73.8%,63.8%,62.5%,39,7,16,18,3,15,0,0,20,20,18,21,29,30
WAHKIAKUM SCHOOL DISTRICT,2014-15,33,81.8%,3.0%,6.1%,9.1%,3.0%,6.1%,3.0%,0.0%,93.9%,93.9%,87.9%,97.0%,93.9%,90.9%,27,1,2,3,1,2,1,0,2,2,4,1,2,3
WAHLUKE SCHOOL DISTRICT,2014-15,196,97.4%,1.0%,0.5%,1.0%,0.0%,0.5%,0.0%,0.5%,99.0%,99.0%,98.5%,98.5%,99.0%,98.5%,191,2,1,2,0,1,0,1,2,2,3,3,2,3
WAITSBURG SCHOOL DISTRICT,2014-15,18,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLA WALLA PUBLIC SCHOOLS,2014-15,475,82.3%,2.3%,13.5%,1.9%,0.6%,1.3%,0.2%,0.0%,89.3%,89.5%,89.9%,86.1%,92.2%,87.4%,391,11,64,9,3,6,1,0,51,50,48,66,37,60
WAPATO SCHOOL DISTRICT,2014-15,224,95.5%,0.0%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,99.6%,100.0%,95.5%,96.9%,100.0%,95.5%,214,0,10,0,0,0,0,0,1,0,10,7,0,10
WARDEN SCHOOL DISTRICT,2014-15,80,96.3%,2.5%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,96.3%,96.3%,97.5%,97.5%,98.8%,97.5%,77,2,1,0,0,0,0,0,3,3,2,2,1,2
WASHOUGAL SCHOOL DISTRICT,2014-15,226,88.5%,2.7%,3.5%,5.3%,3.1%,2.2%,0.0%,0.0%,92.5%,92.5%,95.1%,92.9%,93.8%,93.8%,200,6,8,12,7,5,0,0,17,17,11,16,14,14
WASHTUCNA SCHOOL DISTRICT,2014-15,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WATERVILLE SCHOOL DISTRICT,2014-15,16,62.5%,6.3%,31.3%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,68.8%,75.0%,87.5%,68.8%,10,1,5,0,0,0,0,0,4,4,5,4,2,5
WELLPINIT SCHOOL DISTRICT,2014-15,47,85.1%,0.0%,14.9%,0.0%,0.0%,0.0%,0.0%,0.0%,93.6%,93.6%,89.4%,89.4%,95.7%,91.5%,40,0,7,0,0,0,0,0,3,3,5,5,2,4
WENATCHEE SCHOOL DISTRICT,2014-15,660,93.3%,1.1%,2.0%,3.6%,0.9%,2.4%,0.3%,0.0%,95.9%,95.9%,95.2%,95.3%,96.2%,95.0%,616,7,13,24,6,16,2,0,27,27,32,31,25,33
WEST VALLEY SCHOOL DISTRICT (SPOKANE),2014-15,222,78.8%,1.8%,13.5%,5.9%,0.9%,2.7%,1.4%,0.9%,84.7%,84.7%,85.1%,85.6%,87.8%,83.3%,175,4,30,13,2,6,3,2,34,34,33,32,27,37
WEST VALLEY SCHOOL DISTRICT (YAKIMA),2014-15,299,86.6%,0.3%,11.4%,1.7%,1.0%,1.0%,0.0%,0.0%,94.3%,94.3%,94.3%,93.3%,92.6%,94.0%,259,1,34,5,3,3,0,0,17,17,17,20,22,18
WHITE PASS SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE RIVER SCHOOL DISTRICT,2014-15,324,82.7%,0.9%,3.4%,13.0%,7.7%,4.9%,0.3%,0.0%,87.3%,87.3%,88.0%,86.1%,93.2%,86.1%,268,3,11,42,25,16,1,0,41,41,39,45,22,45
WHITE SALMON VALLEY SCHOOL DISTRICT,2014-15,84,82.1%,3.6%,3.6%,10.7%,6.0%,4.8%,0.0%,0.0%,89.3%,89.3%,91.7%,89.3%,85.7%,90.5%,69,3,3,9,5,4,0,0,9,9,7,9,12,8
WILBUR SCHOOL DISTRICT,2014-15,14,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,14,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLAPA VALLEY SCHOOL DISTRICT,2014-15,21,85.7%,4.8%,4.8%,4.8%,4.8%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,18,1,1,1,1,0,0,0,0,0,0,0,0,0
WILSON CREEK SCHOOL DISTRICT,2014-15,12,75.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,91.7%,83.3%,83.3%,91.7%,9,0,3,0,0,0,0,0,1,1,1,2,2,1
WINLOCK SCHOOL DISTRICT,2014-15,44,84.1%,0.0%,15.9%,0.0%,0.0%,0.0%,0.0%,0.0%,93.2%,93.2%,90.9%,90.9%,97.7%,88.6%,37,0,7,0,0,0,0,0,3,3,4,4,1,5
WISHKAH VALLEY SCHOOL DISTRICT,2014-15,9,55.6%,0.0%,33.3%,11.1%,0.0%,11.1%,0.0%,0.0%,55.6%,55.6%,88.9%,55.6%,100.0%,88.9%,5,0,3,1,0,1,0,0,4,4,1,4,0,1
WISHRAM SCHOOL DISTRICT,2014-15,5,40.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,40.0%,40.0%,100.0%,40.0%,2,0,3,0,0,0,0,0,3,3,3,3,0,3
WOODLAND SCHOOL DISTRICT,2014-15,152,77.6%,5.9%,8.6%,7.9%,2.0%,5.3%,0.7%,0.0%,82.9%,82.9%,82.9%,84.2%,86.8%,83.6%,118,9,13,12,3,8,1,0,26,26,26,24,20,25
YAKIMA SCHOOL DISTRICT,2014-15,1421,88.9%,1.0%,9.1%,1.1%,0.2%,0.6%,0.1%,0.1%,93.2%,93.4%,93.8%,92.6%,96.1%,92.3%,1263,14,129,15,3,9,2,1,96,94,88,105,55,109
YELM SCHOOL DISTRICT,2014-15,381,79.5%,2.9%,15.2%,2.4%,1.3%,1.0%,0.0%,0.0%,86.6%,87.7%,88.7%,88.2%,91.9%,88.2%,303,11,58,9,5,4,0,0,51,47,43,45,31,45
ZILLAH SCHOOL DISTRICT,2014-15,95,77.9%,0.0%,22.1%,0.0%,0.0%,0.0%,0.0%,0.0%,84.2%,84.2%,83.2%,80.0%,91.6%,82.1%,74,0,21,0,0,0,0,0,15,15,16,19,8,17
