School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
RIVERSIDE SCHOOL DISTRICT,2016-17,94,72.3%,1.1%,20.2%,6.4%,1.1%,5.3%,0.0%,0.0%,87.2%,87.2%,81.9%,87.2%,88.3%,76.6%,68,1,19,6,1,5,0,0,12,12,17,12,11,22
RIVERVIEW SCHOOL DISTRICT,2016-17,235,79.6%,0.9%,8.9%,10.6%,2.6%,8.1%,0.0%,0.0%,89.8%,89.4%,90.2%,87.2%,85.1%,87.2%,187,2,21,25,6,19,0,0,24,25,23,30,35,30
ROCHESTER SCHOOL DISTRICT,2016-17,201,80.6%,0.0%,16.4%,3.0%,1.0%,1.5%,0.0%,0.5%,83.6%,83.6%,85.1%,84.1%,93.5%,84.6%,162,0,33,6,2,3,0,1,33,33,30,32,13,31
ROOSEVELT SCHOOL DISTRICT,2016-17,6,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,83.3%,83.3%,66.7%,100.0%,66.7%,4,2,0,0,0,0,0,0,1,1,1,2,0,2
ROSALIA SCHOOL DISTRICT,2016-17,14,85.7%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,92.9%,85.7%,85.7%,100.0%,100.0%,12,0,2,0,0,0,0,0,1,1,2,2,0,0
ROYAL SCHOOL DISTRICT,2016-17,147,98.0%,0.0%,0.0%,2.0%,0.0%,2.0%,0.0%,0.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,144,0,0,3,0,3,0,0,3,3,3,3,3,3
SAN JUAN ISLAND SCHOOL DISTRICT,2016-17,57,40.4%,1.8%,52.6%,5.3%,1.8%,1.8%,1.8%,0.0%,63.2%,61.4%,64.9%,61.4%,75.4%,61.4%,23,1,30,3,1,1,1,0,21,22,20,22,14,22
SATSOP SCHOOL DISTRICT,2016-17,10,90.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,100.0%,90.0%,9,0,1,0,0,0,0,0,1,1,1,1,0,1
SEATTLE PUBLIC SCHOOLS,2016-17,"5,769",83.0%,1.0%,11.0%,5.0%,1.0%,4.1%,0.2%,0.1%,90.8%,90.5%,90.3%,88.9%,91.5%,88.1%,"4,791",57,635,286,58,234,12,4,533,550,562,642,490,685
SEDRO-WOOLLEY SCHOOL DISTRICT,2016-17,372,89.0%,6.7%,0.0%,4.3%,0.8%,3.8%,0.0%,0.0%,93.0%,93.0%,93.0%,93.5%,94.4%,91.4%,331,25,0,16,3,14,0,0,26,26,26,24,21,32
SELAH SCHOOL DISTRICT,2016-17,285,89.8%,0.7%,8.4%,1.1%,0.0%,1.1%,0.0%,0.0%,94.0%,94.0%,91.6%,93.0%,96.1%,92.3%,256,2,24,3,0,3,0,0,17,17,24,20,11,22
SELKIRK SCHOOL DISTRICT,2016-17,19,78.9%,10.5%,0.0%,10.5%,5.3%,5.3%,0.0%,0.0%,84.2%,84.2%,84.2%,89.5%,94.7%,78.9%,15,2,0,2,1,1,0,0,3,3,3,2,1,4
SEQUIM SCHOOL DISTRICT,2016-17,219,77.2%,2.7%,15.5%,4.6%,1.4%,0.5%,0.0%,0.0%,80.8%,80.8%,80.8%,80.8%,85.8%,80.8%,169,6,34,10,3,1,0,0,42,42,42,42,31,42
SHAW ISLAND SCHOOL DISTRICT,2016-17,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHELTON SCHOOL DISTRICT,2016-17,285,81.8%,4.6%,11.6%,2.1%,0.0%,2.1%,0.0%,0.0%,86.3%,86.7%,88.4%,87.0%,91.6%,86.0%,233,13,33,6,0,6,0,0,39,38,33,37,24,40
SHORELINE SCHOOL DISTRICT,2016-17,820,89.0%,4.3%,1.0%,5.7%,0.4%,5.4%,0.1%,0.0%,93.0%,93.2%,93.0%,93.0%,94.3%,91.6%,730,35,8,47,3,44,1,0,57,56,57,57,47,69
SKAMANIA SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYKOMISH SCHOOL DISTRICT,2016-17,7,71.4%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,100.0%,71.4%,5,2,0,0,0,0,0,0,1,1,1,1,0,2
SNOHOMISH SCHOOL DISTRICT,2016-17,631,84.8%,1.0%,8.9%,5.4%,1.0%,3.8%,0.5%,0.2%,91.1%,91.1%,90.5%,88.9%,92.6%,88.3%,535,6,56,34,6,24,3,1,56,56,60,70,47,74
SNOQUALMIE VALLEY SCHOOL DISTRICT,2016-17,546,78.9%,0.9%,14.8%,5.3%,1.5%,3.7%,0.2%,0.0%,86.6%,86.6%,85.0%,85.0%,88.5%,84.1%,431,5,81,29,8,20,1,0,73,73,82,82,63,87
SOAP LAKE SCHOOL DISTRICT,2016-17,36,94.4%,0.0%,0.0%,5.6%,0.0%,5.6%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,34,0,0,2,0,2,0,0,2,2,2,2,2,2
SOAR ACADEMY CHARTER DISTRICT,2016-17,49,51.0%,40.8%,0.0%,8.2%,0.0%,8.2%,0.0%,0.0%,65.3%,65.3%,71.4%,71.4%,89.8%,65.3%,25,20,0,4,0,4,0,0,17,17,14,14,5,17
SOUTH BEND SCHOOL DISTRICT,2016-17,40,90.0%,0.0%,7.5%,2.5%,0.0%,2.5%,0.0%,0.0%,92.5%,92.5%,92.5%,90.0%,97.5%,95.0%,36,0,3,1,0,1,0,0,3,3,3,4,1,2
SOUTH KITSAP SCHOOL DISTRICT,2016-17,760,91.6%,3.2%,0.5%,4.7%,0.9%,3.7%,0.1%,0.0%,95.0%,94.9%,94.9%,95.3%,95.9%,94.5%,696,24,4,36,7,28,1,0,38,39,39,36,31,42
SOUTH WHIDBEY SCHOOL DISTRICT,2016-17,54,70.4%,1.9%,16.7%,11.1%,3.7%,7.4%,0.0%,0.0%,81.5%,83.3%,83.3%,81.5%,83.3%,83.3%,38,1,9,6,2,4,0,0,10,9,9,10,9,9
SOUTHSIDE SCHOOL DISTRICT,2016-17,38,89.5%,0.0%,7.9%,2.6%,2.6%,0.0%,0.0%,0.0%,94.7%,94.7%,94.7%,94.7%,97.4%,92.1%,34,0,3,1,1,0,0,0,2,2,2,2,1,3
SPOKANE INTERNATIONAL ACADEMY,2016-17,47,91.5%,0.0%,8.5%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,95.7%,97.9%,95.7%,97.9%,91.5%,43,0,4,0,0,0,0,0,2,2,1,2,1,4
SPOKANE SCHOOL DISTRICT,2016-17,"2,790",87.8%,3.1%,1.1%,8.0%,2.9%,4.7%,0.6%,0.1%,91.6%,91.6%,92.5%,91.8%,92.8%,90.9%,"2,450",86,31,223,82,132,18,4,233,233,210,228,202,253
SPRAGUE SCHOOL DISTRICT,2016-17,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. JOHN SCHOOL DISTRICT,2016-17,12,83.3%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,91.7%,91.7%,100.0%,10,0,2,0,0,0,0,0,0,0,0,1,1,0
STANWOOD-CAMANO SCHOOL DISTRICT,2016-17,304,78.3%,3.3%,14.5%,3.9%,1.6%,2.6%,0.0%,0.0%,86.2%,86.2%,86.5%,86.5%,90.5%,82.6%,238,10,44,12,5,8,0,0,42,42,41,41,29,53
STAR SCHOOL DISTRICT,2016-17,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0
STARBUCK SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STEHEKIN SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STEILACOOM HIST. SCHOOL DISTRICT,2016-17,236,78.0%,1.3%,19.5%,1.3%,0.0%,0.4%,0.4%,0.4%,88.6%,88.6%,89.8%,86.9%,92.8%,86.4%,184,3,46,3,0,1,1,1,27,27,24,31,17,32
STEPTOE SCHOOL DISTRICT,2016-17,8,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,6,0,0,2,0,2,0,0,2,2,2,2,2,2
STEVENSON-CARSON SCHOOL DISTRICT,2016-17,72,72.2%,5.6%,12.5%,9.7%,2.8%,4.2%,2.8%,0.0%,79.2%,79.2%,77.8%,77.8%,81.9%,77.8%,52,4,9,7,2,3,2,0,15,15,16,16,13,16
SULTAN SCHOOL DISTRICT,2016-17,141,61.7%,1.4%,27.0%,9.9%,2.1%,5.7%,2.1%,0.0%,78.0%,78.0%,75.2%,73.8%,78.7%,67.4%,87,2,38,14,3,8,3,0,31,31,35,37,30,46
SUMMIT PUBLIC SCHOOL: OLYMPUS,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMMIT PUBLIC SCHOOL: SIERRA,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMMIT VALLEY SCHOOL DISTRICT,2016-17,8,75.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,87.5%,87.5%,75.0%,87.5%,87.5%,75.0%,6,0,1,1,0,1,0,0,1,1,2,1,1,2
SUMNER SCHOOL DISTRICT,2016-17,686,89.8%,1.6%,2.9%,5.7%,1.2%,4.4%,0.1%,0.0%,93.3%,93.3%,92.6%,93.4%,94.8%,91.7%,616,11,20,39,8,30,1,0,46,46,51,45,36,57
SUNNYSIDE SCHOOL DISTRICT,2016-17,506,98.2%,1.0%,0.2%,0.6%,0.0%,0.6%,0.0%,0.0%,99.2%,99.2%,98.8%,99.0%,99.4%,98.8%,497,5,1,3,0,3,0,0,4,4,6,5,3,6
TACOMA SCHOOL DISTRICT,2016-17,"2,559",83.0%,1.4%,11.0%,4.5%,0.6%,3.8%,0.1%,0.1%,90.0%,98.1%,89.5%,88.2%,93.0%,88.9%,"2,125",37,282,115,15,96,3,3,257,48,268,301,179,284
TAHOLAH SCHOOL DISTRICT,2016-17,13,61.5%,15.4%,23.1%,0.0%,0.0%,0.0%,0.0%,0.0%,69.2%,69.2%,61.5%,69.2%,84.6%,69.2%,8,2,3,0,0,0,0,0,4,4,5,4,2,4
TAHOMA SCHOOL DISTRICT,2016-17,578,92.7%,1.2%,2.2%,3.8%,0.2%,3.5%,0.0%,0.2%,96.2%,96.0%,96.0%,95.2%,95.2%,94.8%,536,7,13,22,1,20,0,1,22,23,23,28,28,30
TEKOA SCHOOL DISTRICT,2016-17,18,83.3%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,83.3%,100.0%,100.0%,83.3%,15,3,0,0,0,0,0,0,0,0,3,0,0,3
TENINO SCHOOL DISTRICT,2016-17,121,78.5%,4.1%,14.9%,2.5%,0.0%,1.7%,0.8%,0.0%,82.6%,82.6%,85.1%,87.6%,89.3%,83.5%,95,5,18,3,0,2,1,0,21,21,18,15,13,20
THORP SCHOOL DISTRICT,2016-17,12,8.3%,8.3%,83.3%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,58.3%,75.0%,41.7%,50.0%,66.7%,1,1,10,0,0,0,0,0,5,5,3,7,6,4
TOLEDO SCHOOL DISTRICT,2016-17,43,90.7%,2.3%,4.7%,2.3%,0.0%,2.3%,0.0%,0.0%,93.0%,93.0%,93.0%,93.0%,97.7%,90.7%,39,1,2,1,0,1,0,0,3,3,3,3,1,4
TONASKET SCHOOL DISTRICT,2016-17,87,75.9%,4.6%,11.5%,8.0%,2.3%,6.9%,0.0%,0.0%,80.5%,80.5%,83.9%,82.8%,87.4%,81.6%,66,4,10,7,2,6,0,0,17,17,14,15,11,16
TOPPENISH SCHOOL DISTRICT,2016-17,307,96.7%,1.0%,2.0%,0.3%,0.0%,0.3%,0.0%,0.0%,98.4%,98.4%,98.7%,98.0%,99.7%,97.7%,297,3,6,1,0,1,0,0,5,5,4,6,1,7
TOUCHET SCHOOL DISTRICT,2016-17,14,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,14,0,0,0,0,0,0,0,0,0,0,0,0,0
TOUTLE LAKE SCHOOL DISTRICT,2016-17,41,78.0%,2.4%,14.6%,4.9%,2.4%,2.4%,0.0%,0.0%,85.4%,85.4%,82.9%,85.4%,90.2%,82.9%,32,1,6,2,1,1,0,0,6,6,7,6,4,7
TROUT LAKE SCHOOL DISTRICT,2016-17,21,61.9%,9.5%,9.5%,19.0%,9.5%,9.5%,0.0%,0.0%,71.4%,71.4%,71.4%,71.4%,61.9%,71.4%,13,2,2,4,2,2,0,0,6,6,6,6,8,6
TUKWILA SCHOOL DISTRICT,2016-17,260,88.1%,5.4%,4.6%,1.9%,0.4%,1.2%,0.4%,0.0%,90.0%,90.0%,93.8%,93.1%,96.5%,92.7%,229,14,12,5,1,3,1,0,26,26,16,18,9,19
TUMWATER SCHOOL DISTRICT,2016-17,508,82.1%,4.5%,5.3%,8.1%,1.4%,6.1%,0.4%,0.4%,89.0%,88.6%,88.6%,88.6%,88.4%,87.6%,417,23,27,41,7,31,2,2,56,58,58,58,59,63
UNION GAP SCHOOL DISTRICT,2016-17,55,96.4%,1.8%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,98.2%,98.2%,98.2%,98.2%,100.0%,100.0%,53,1,1,0,0,0,0,0,1,1,1,1,0,0
UNIVERSITY PLACE SCHOOL DISTRICT,2016-17,429,91.4%,1.6%,2.3%,4.7%,0.9%,3.3%,0.2%,0.2%,95.3%,95.1%,93.9%,94.6%,94.9%,93.5%,392,7,10,20,4,14,1,1,20,21,26,23,22,28
VALLEY SCHOOL DISTRICT,2016-17,19,84.2%,0.0%,10.5%,5.3%,0.0%,5.3%,0.0%,0.0%,89.5%,89.5%,84.2%,89.5%,89.5%,84.2%,16,0,2,1,0,1,0,0,2,2,3,2,2,3
VANCOUVER SCHOOL DISTRICT,2016-17,"1,838",82.2%,3.3%,8.5%,6.0%,0.9%,5.0%,0.2%,0.1%,87.2%,87.2%,88.2%,86.3%,89.6%,86.9%,"1,511",60,156,111,16,91,3,1,235,235,216,252,191,241
VASHON ISLAND SCHOOL DISTRICT,2016-17,80,61.3%,5.0%,21.3%,12.5%,5.0%,7.5%,0.0%,0.0%,81.3%,81.3%,80.0%,72.5%,80.0%,67.5%,49,4,17,10,4,6,0,0,15,15,16,22,16,26
WAHKIAKUM SCHOOL DISTRICT,2016-17,24,95.8%,0.0%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,23,0,1,0,0,0,0,0,1,1,1,1,1,1
WAHLUKE SCHOOL DISTRICT,2016-17,211,83.4%,0.5%,15.6%,0.5%,0.0%,0.5%,0.0%,0.0%,91.0%,91.0%,88.2%,90.0%,97.2%,88.2%,176,1,33,1,0,1,0,0,19,19,25,21,6,25
WAITSBURG SCHOOL DISTRICT,2016-17,26,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,26,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLA WALLA PUBLIC SCHOOLS,2016-17,443,93.5%,1.6%,2.9%,2.0%,0.2%,1.6%,0.2%,0.0%,96.4%,96.4%,95.9%,95.7%,96.6%,94.8%,414,7,13,9,1,7,1,0,16,16,18,19,15,23
WAPATO SCHOOL DISTRICT,2016-17,272,55.1%,0.4%,44.1%,0.4%,0.4%,0.0%,0.0%,0.0%,58.1%,58.1%,59.6%,58.8%,66.2%,57.7%,150,1,120,1,1,0,0,0,114,114,110,112,92,115
WARDEN SCHOOL DISTRICT,2016-17,80,93.8%,1.3%,3.8%,1.3%,1.3%,0.0%,0.0%,0.0%,93.8%,93.8%,95.0%,93.8%,98.8%,96.3%,75,1,3,1,1,0,0,0,5,5,4,5,1,3
WASHOUGAL SCHOOL DISTRICT,2016-17,211,86.7%,4.3%,3.8%,5.2%,0.9%,3.3%,0.9%,0.5%,89.1%,89.1%,91.0%,90.5%,94.8%,89.6%,183,9,8,11,2,7,2,1,23,23,19,20,11,22
WASHTUCNA SCHOOL DISTRICT,2016-17,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0
WATERVILLE SCHOOL DISTRICT,2016-17,31,93.5%,3.2%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,96.8%,96.8%,100.0%,96.8%,100.0%,96.8%,29,1,1,0,0,0,0,0,1,1,0,1,0,1
WELLPINIT SCHOOL DISTRICT,2016-17,26,88.5%,3.8%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,92.3%,92.3%,96.2%,96.2%,100.0%,100.0%,23,1,2,0,0,0,0,0,2,2,1,1,0,0
WENATCHEE SCHOOL DISTRICT,2016-17,622,91.6%,1.0%,2.3%,5.1%,0.3%,4.5%,0.2%,0.2%,94.4%,94.4%,94.2%,94.5%,95.2%,93.6%,570,6,14,32,2,28,1,1,35,35,36,34,30,40
WEST VALLEY SCHOOL DISTRICT (SPOKANE),2016-17,25,92.0%,0.0%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.0%,96.0%,92.0%,96.0%,100.0%,92.0%,23,0,2,0,0,0,0,0,1,1,2,1,0,2
WEST VALLEY SCHOOL DISTRICT (YAKIMA),2016-17,363,87.1%,1.4%,9.9%,1.7%,0.6%,1.1%,0.0%,0.0%,94.8%,94.8%,94.2%,92.3%,94.5%,92.8%,316,5,36,6,2,4,0,0,19,19,21,28,20,26
WHITE PASS SCHOOL DISTRICT,2016-17,19,57.9%,0.0%,42.1%,0.0%,0.0%,0.0%,0.0%,0.0%,57.9%,57.9%,57.9%,57.9%,94.7%,57.9%,11,0,8,0,0,0,0,0,8,8,8,8,1,8
WHITE RIVER SCHOOL DISTRICT,2016-17,343,87.2%,1.2%,1.7%,9.9%,5.0%,5.0%,0.0%,0.0%,91.5%,91.5%,90.1%,89.5%,95.9%,90.4%,299,4,6,34,17,17,0,0,29,29,34,36,14,33
WHITE SALMON VALLEY SCHOOL DISTRICT,2016-17,101,70.3%,4.0%,23.8%,2.0%,2.0%,0.0%,0.0%,0.0%,81.2%,81.2%,82.2%,79.2%,90.1%,80.2%,71,4,24,2,2,0,0,0,19,19,18,21,10,20
WILBUR SCHOOL DISTRICT,2016-17,16,81.3%,12.5%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,87.5%,87.5%,100.0%,100.0%,100.0%,93.8%,13,2,0,1,0,1,0,0,2,2,0,0,0,1
WILLAPA VALLEY SCHOOL DISTRICT,2016-17,22,81.8%,13.6%,0.0%,4.5%,4.5%,0.0%,0.0%,0.0%,90.9%,90.9%,86.4%,86.4%,95.5%,86.4%,18,3,0,1,1,0,0,0,2,2,3,3,1,3
WILSON CREEK SCHOOL DISTRICT,2016-17,9,66.7%,11.1%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,77.8%,66.7%,88.9%,77.8%,6,1,2,0,0,0,0,0,2,2,2,3,1,2
WINLOCK SCHOOL DISTRICT,2016-17,50,92.0%,0.0%,2.0%,6.0%,0.0%,6.0%,0.0%,0.0%,94.0%,94.0%,94.0%,94.0%,94.0%,92.0%,46,0,1,3,0,3,0,0,3,3,3,3,3,4
WISHKAH VALLEY SCHOOL DISTRICT,2016-17,11,81.8%,0.0%,9.1%,9.1%,0.0%,9.1%,0.0%,0.0%,90.9%,90.9%,81.8%,90.9%,90.9%,90.9%,9,0,1,1,0,1,0,0,1,1,2,1,1,1
WISHRAM SCHOOL DISTRICT,2016-17,5,60.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,80.0%,60.0%,100.0%,80.0%,3,0,2,0,0,0,0,0,2,2,1,2,0,1
WOODLAND SCHOOL DISTRICT,2016-17,167,91.0%,0.6%,1.2%,7.2%,3.0%,4.2%,0.0%,0.0%,93.4%,93.4%,92.8%,93.4%,92.2%,91.6%,152,1,2,12,5,7,0,0,11,11,12,11,13,14
YAKIMA SCHOOL DISTRICT,2016-17,"1,342",93.8%,2.1%,2.3%,1.8%,0.9%,0.7%,0.1%,0.0%,96.1%,96.2%,96.2%,96.4%,97.2%,95.8%,"1,259",28,31,24,12,10,2,0,52,51,51,48,37,57
YELM SCHOOL DISTRICT,2016-17,387,83.7%,3.6%,8.3%,4.4%,1.3%,3.1%,0.5%,0.0%,87.1%,87.1%,89.4%,87.6%,92.5%,88.4%,324,14,32,17,5,12,2,0,50,50,41,48,29,45
ZILLAH SCHOOL DISTRICT,2016-17,90,84.4%,0.0%,15.6%,0.0%,0.0%,0.0%,0.0%,0.0%,93.3%,93.3%,87.8%,92.2%,92.2%,87.8%,76,0,14,0,0,0,0,0,6,6,11,7,7,11
