School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
SATSOP SCHOOL DISTRICT,2013-14,9,44.4%,11.1%,33.3%,11.1%,0.0%,11.1%,0.0%,0.0%,88.9%,88.9%,88.9%,77.8%,100.0%,55.6%,4,1,3,1,0,1,0,0,1,1,1,2,0,4
SEATTLE PUBLIC SCHOOLS,2013-14,5484,76.6%,0.7%,17.6%,5.2%,1.4%,3.8%,0.1%,0.0%,98.9%,98.9%,86.6%,85.1%,89.0%,84.0%,4199,38,966,284,75,211,3,2,61,60,736,817,602,876
SEDRO-WOOLLEY SCHOOL DISTRICT,2013-14,325,84.6%,6.2%,0.9%,8.3%,1.8%,5.2%,0.9%,0.6%,91.7%,91.7%,90.8%,91.7%,92.6%,88.0%,275,20,3,27,6,17,3,2,27,27,30,27,24,39
SELAH SCHOOL DISTRICT,2013-14,255,82.0%,0.8%,16.1%,1.2%,0.8%,0.4%,0.0%,0.0%,89.4%,89.4%,89.0%,88.2%,94.9%,87.5%,209,2,41,3,2,1,0,0,27,27,28,30,13,32
SELKIRK SCHOOL DISTRICT,2013-14,22,90.9%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,100.0%,100.0%,100.0%,95.5%,20,2,0,0,0,0,0,0,1,1,0,0,0,1
SEQUIM SCHOOL DISTRICT,2013-14,201,74.6%,2.0%,17.9%,5.5%,3.0%,2.5%,0.0%,0.0%,81.6%,81.6%,82.6%,79.1%,87.6%,79.6%,150,4,36,11,6,5,0,0,37,37,35,42,25,41
SHAW ISLAND SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHELTON SCHOOL DISTRICT,2013-14,263,88.2%,1.1%,7.2%,3.4%,0.8%,3.0%,0.0%,0.0%,91.6%,91.6%,93.9%,91.6%,96.6%,91.3%,232,3,19,9,2,8,0,0,22,22,16,22,9,23
SHORELINE SCHOOL DISTRICT,2013-14,864,85.6%,7.1%,0.3%,6.9%,1.7%,5.2%,0.1%,0.0%,91.3%,91.4%,90.6%,89.9%,92.7%,88.7%,740,61,3,60,15,45,1,0,75,74,81,87,63,98
SKAMANIA SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKYKOMISH SCHOOL DISTRICT,2013-14,1,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,1,0,0,0,0,0,1,1,1,1,1,1
SNOHOMISH SCHOOL DISTRICT,2013-14,509,89.0%,1.6%,2.4%,7.1%,3.1%,3.5%,0.4%,0.0%,95.3%,95.3%,94.7%,93.7%,93.1%,93.1%,453,8,12,36,16,18,2,0,24,24,27,32,35,35
SNOQUALMIE VALLEY SCHOOL DISTRICT,2013-14,515,91.1%,1.2%,2.5%,5.2%,1.0%,4.3%,0.2%,0.0%,95.7%,95.5%,94.6%,94.6%,93.6%,93.6%,469,6,13,27,5,22,1,0,22,23,28,28,33,33
SOAP LAKE SCHOOL DISTRICT,2013-14,37,73.0%,0.0%,27.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.7%,75.7%,81.1%,78.4%,94.6%,81.1%,27,0,10,0,0,0,0,0,9,9,7,8,2,7
SOUTH BEND SCHOOL DISTRICT,2013-14,48,95.8%,0.0%,0.0%,4.2%,4.2%,0.0%,0.0%,0.0%,97.9%,97.9%,97.9%,97.9%,100.0%,95.8%,46,0,0,2,2,0,0,0,1,1,1,1,0,2
SOUTH KITSAP SCHOOL DISTRICT,2013-14,706,91.4%,2.3%,1.0%,5.4%,2.0%,3.5%,0.1%,0.0%,95.0%,94.9%,94.2%,94.9%,94.8%,92.9%,645,16,7,38,14,25,1,0,35,36,41,36,37,50
SOUTH WHIDBEY SCHOOL DISTRICT,2013-14,113,44.2%,1.8%,36.3%,17.7%,5.3%,15.9%,0.9%,0.0%,56.6%,55.8%,54.0%,54.9%,68.1%,51.3%,50,2,41,20,6,18,1,0,49,50,52,51,36,55
SOUTHSIDE SCHOOL DISTRICT,2013-14,29,86.2%,3.4%,3.4%,6.9%,3.4%,3.4%,0.0%,0.0%,89.7%,89.7%,96.6%,93.1%,93.1%,96.6%,25,1,1,2,1,1,0,0,3,3,1,2,2,1
SPOKANE SCHOOL DISTRICT,2013-14,2722,66.1%,0.8%,27.8%,5.4%,0.9%,3.7%,0.4%,0.2%,77.7%,77.8%,79.4%,78.6%,86.9%,76.5%,1798,21,756,147,25,100,10,6,606,604,560,582,357,639
SPRAGUE SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. JOHN SCHOOL DISTRICT,2013-14,13,92.3%,0.0%,0.0%,7.7%,0.0%,7.7%,0.0%,0.0%,100.0%,100.0%,92.3%,92.3%,100.0%,92.3%,12,0,0,1,0,1,0,0,0,0,1,1,0,1
STANWOOD-CAMANO SCHOOL DISTRICT,2013-14,299,42.1%,1.3%,52.8%,3.7%,0.7%,3.0%,0.0%,0.0%,50.8%,50.8%,50.2%,50.8%,58.2%,49.5%,126,4,158,11,2,9,0,0,147,147,149,147,125,151
STAR SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARBUCK SCHOOL DISTRICT,2013-14,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
STEHEKIN SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STEILACOOM HIST. SCHOOL DISTRICT,2013-14,261,89.7%,1.9%,4.6%,3.8%,0.8%,2.3%,0.4%,0.4%,94.3%,94.3%,95.8%,94.3%,94.3%,94.3%,234,5,12,10,2,6,1,1,15,15,11,15,15,15
STEPTOE SCHOOL DISTRICT,2013-14,4,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,100.0%,100.0%,100.0%,75.0%,100.0%,100.0%,3,0,0,1,0,1,0,0,0,0,0,1,0,0
STEVENSON-CARSON SCHOOL DISTRICT,2013-14,78,67.9%,0.0%,29.5%,2.6%,0.0%,2.6%,0.0%,0.0%,79.5%,79.5%,78.2%,75.6%,84.6%,74.4%,53,0,23,2,0,2,0,0,16,16,17,19,12,20
SULTAN SCHOOL DISTRICT,2013-14,140,67.1%,2.1%,22.9%,7.9%,4.3%,0.7%,2.9%,0.0%,83.6%,83.6%,86.4%,85.0%,92.9%,82.9%,94,3,32,11,6,1,4,0,23,23,19,21,10,24
SUMMIT VALLEY SCHOOL DISTRICT,2013-14,8,62.5%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,62.5%,62.5%,62.5%,75.0%,62.5%,5,0,3,0,0,0,0,0,3,3,3,3,2,3
SUMNER SCHOOL DISTRICT,2013-14,625,87.5%,0.5%,5.9%,6.1%,1.9%,3.8%,0.3%,0.0%,92.0%,92.0%,91.5%,90.7%,93.3%,90.9%,547,3,37,38,12,24,2,0,50,50,53,58,42,57
SUNNYSIDE SCHOOL DISTRICT,2013-14,561,98.0%,0.4%,0.7%,0.9%,0.4%,0.5%,0.0%,0.0%,98.8%,98.8%,98.9%,98.6%,99.1%,98.4%,550,2,4,5,2,3,0,0,7,7,6,8,5,9
TACOMA SCHOOL DISTRICT,2013-14,2864,80.2%,1.3%,15.0%,3.5%,0.9%,2.4%,0.1%,0.1%,87.9%,97.3%,88.8%,86.3%,91.6%,87.7%,2298,37,429,100,26,70,4,2,346,76,322,392,240,353
TAHOLAH SCHOOL DISTRICT,2013-14,12,91.7%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,100.0%,100.0%,100.0%,100.0%,11,0,1,0,0,0,0,0,1,1,0,0,0,0
TAHOMA SCHOOL DISTRICT,2013-14,418,86.6%,1.2%,6.9%,5.3%,1.0%,4.1%,0.2%,0.0%,93.5%,93.5%,93.8%,94.0%,92.3%,92.1%,362,5,29,22,4,17,1,0,27,27,26,25,32,33
TEKOA SCHOOL DISTRICT,2013-14,9,77.8%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,88.9%,77.8%,88.9%,88.9%,7,0,2,0,0,0,0,0,2,2,1,2,1,1
TENINO SCHOOL DISTRICT,2013-14,75,72.0%,1.3%,21.3%,5.3%,1.3%,4.0%,0.0%,0.0%,78.7%,78.7%,84.0%,76.0%,93.3%,80.0%,54,1,16,4,1,3,0,0,16,16,12,18,5,15
THORP SCHOOL DISTRICT,2013-14,16,81.3%,0.0%,6.3%,12.5%,6.3%,0.0%,6.3%,0.0%,87.5%,87.5%,81.3%,87.5%,93.8%,81.3%,13,0,1,2,1,0,1,0,2,2,3,2,1,3
TOLEDO SCHOOL DISTRICT,2013-14,50,52.0%,0.0%,48.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,58.0%,54.0%,58.0%,52.0%,26,0,24,0,0,0,0,0,20,20,21,23,21,24
TONASKET SCHOOL DISTRICT,2013-14,79,86.1%,1.3%,8.9%,3.8%,1.3%,1.3%,1.3%,0.0%,91.1%,91.1%,88.6%,91.1%,93.7%,87.3%,68,1,7,3,1,1,1,0,7,7,9,7,5,10
TOPPENISH SCHOOL DISTRICT,2013-14,341,95.6%,0.0%,3.8%,0.6%,0.3%,0.3%,0.0%,0.0%,96.8%,96.8%,97.9%,97.1%,99.4%,97.9%,326,0,13,2,1,1,0,0,11,11,7,10,2,7
TOUCHET SCHOOL DISTRICT,2013-14,12,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,12,0,0,0,0,0,0,0,0,0,0,0,0,0
TOUTLE LAKE SCHOOL DISTRICT,2013-14,44,88.6%,0.0%,2.3%,9.1%,0.0%,9.1%,0.0%,0.0%,90.9%,90.9%,88.6%,90.9%,97.7%,88.6%,39,0,1,4,0,4,0,0,4,4,5,4,1,5
TROUT LAKE SCHOOL DISTRICT,2013-14,9,55.6%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,66.7%,77.8%,66.7%,77.8%,5,0,4,0,0,0,0,0,2,2,3,2,3,2
TUKWILA SCHOOL DISTRICT,2013-14,244,88.1%,3.7%,6.1%,2.0%,0.8%,1.2%,0.0%,0.0%,94.3%,94.3%,94.7%,93.9%,95.9%,94.7%,215,9,15,5,2,3,0,0,14,14,13,15,10,13
TUMWATER SCHOOL DISTRICT,2013-14,386,79.8%,1.3%,13.0%,6.0%,1.8%,3.6%,0.5%,0.0%,87.8%,87.8%,88.1%,86.3%,88.9%,86.0%,308,5,50,23,7,14,2,0,47,47,46,53,43,54
UNION GAP SCHOOL DISTRICT,2013-14,74,68.9%,0.0%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%,81.1%,81.1%,86.5%,81.1%,91.9%,86.5%,51,0,23,0,0,0,0,0,14,14,10,14,6,10
UNIVERSITY PLACE SCHOOL DISTRICT,2013-14,338,75.4%,1.5%,20.1%,3.0%,1.5%,1.5%,0.0%,0.0%,85.5%,85.5%,84.9%,82.5%,92.6%,84.0%,255,5,68,10,5,5,0,0,49,49,51,59,25,54
VALLEY SCHOOL DISTRICT,2013-14,17,52.9%,0.0%,5.9%,41.2%,17.6%,17.6%,5.9%,0.0%,82.4%,82.4%,82.4%,88.2%,88.2%,70.6%,9,0,1,7,3,3,1,0,3,3,3,2,2,5
VANCOUVER SCHOOL DISTRICT,2013-14,1783,84.9%,2.1%,6.3%,6.7%,0.9%,5.3%,0.4%,0.1%,90.5%,90.6%,90.3%,90.2%,92.7%,88.8%,1513,38,113,119,16,94,8,2,169,167,173,175,130,200
VASHON ISLAND SCHOOL DISTRICT,2013-14,78,59.0%,2.6%,15.4%,23.1%,2.6%,20.5%,0.0%,0.0%,78.2%,76.9%,78.2%,74.4%,74.4%,67.9%,46,2,12,18,2,16,0,0,17,18,17,20,20,25
WAHKIAKUM SCHOOL DISTRICT,2013-14,30,90.0%,0.0%,0.0%,10.0%,0.0%,3.3%,6.7%,0.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,27,0,0,3,0,1,2,0,3,3,3,3,3,3
WAHLUKE SCHOOL DISTRICT,2013-14,232,91.4%,0.4%,7.8%,0.4%,0.4%,0.0%,0.0%,0.0%,94.4%,94.4%,94.4%,93.5%,98.7%,93.1%,212,1,18,1,1,0,0,0,13,13,13,15,3,16
WAITSBURG SCHOOL DISTRICT,2013-14,17,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,17,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLA WALLA PUBLIC SCHOOLS,2013-14,470,83.6%,0.4%,13.0%,3.0%,1.7%,1.3%,0.0%,0.0%,91.7%,91.7%,92.3%,90.0%,93.8%,89.4%,393,2,61,14,8,6,0,0,39,39,36,47,29,50
WAPATO SCHOOL DISTRICT,2013-14,306,93.5%,0.0%,6.5%,0.0%,0.0%,0.0%,0.0%,0.0%,94.4%,94.4%,96.1%,96.1%,99.0%,95.8%,286,0,20,0,0,0,0,0,17,17,12,12,3,13
WARDEN SCHOOL DISTRICT,2013-14,77,97.4%,1.3%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,98.7%,98.7%,98.7%,97.4%,100.0%,98.7%,75,1,1,0,0,0,0,0,1,1,1,2,0,1
WASHOUGAL SCHOOL DISTRICT,2013-14,220,83.2%,1.4%,10.5%,5.0%,2.3%,2.3%,0.5%,0.0%,90.9%,90.9%,90.9%,90.5%,92.7%,88.6%,183,3,23,11,5,5,1,0,20,20,20,21,16,25
WASHTUCNA SCHOOL DISTRICT,2013-14,3,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,2,0,1,0,0,0,0,0,1,1,1,1,1,1
WATERVILLE SCHOOL DISTRICT,2013-14,13,76.9%,0.0%,15.4%,7.7%,7.7%,0.0%,0.0%,0.0%,100.0%,100.0%,92.3%,100.0%,92.3%,84.6%,10,0,2,1,1,0,0,0,0,0,1,0,1,2
WELLPINIT SCHOOL DISTRICT,2013-14,56,89.3%,7.1%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,89.3%,89.3%,96.4%,96.4%,96.4%,96.4%,50,4,2,0,0,0,0,0,6,6,2,2,2,2
WENATCHEE SCHOOL DISTRICT,2013-14,649,92.9%,0.5%,4.5%,2.2%,0.0%,2.2%,0.0%,0.0%,95.1%,95.1%,95.4%,95.4%,97.1%,95.1%,603,3,29,14,0,14,0,0,32,32,30,30,19,32
WEST VALLEY SCHOOL DISTRICT (SPOKANE),2013-14,248,78.2%,1.6%,14.9%,5.2%,1.2%,3.6%,0.0%,0.4%,87.1%,87.1%,87.9%,85.1%,88.7%,86.3%,194,4,37,13,3,9,0,1,32,32,30,37,28,34
WEST VALLEY SCHOOL DISTRICT (YAKIMA),2013-14,350,92.9%,2.0%,4.3%,0.9%,0.3%,0.6%,0.0%,0.0%,96.6%,96.6%,96.9%,96.6%,97.7%,95.4%,325,7,15,3,1,2,0,0,12,12,11,12,8,16
WHITE PASS SCHOOL DISTRICT,2013-14,21,71.4%,0.0%,23.8%,4.8%,0.0%,4.8%,0.0%,0.0%,81.0%,81.0%,76.2%,76.2%,90.5%,81.0%,15,0,5,1,0,1,0,0,4,4,5,5,2,4
WHITE RIVER SCHOOL DISTRICT,2013-14,340,88.8%,2.6%,1.8%,6.8%,5.0%,1.8%,0.0%,0.0%,94.7%,94.7%,93.8%,94.4%,96.8%,91.8%,302,9,6,23,17,6,0,0,18,18,21,19,11,28
WHITE SALMON VALLEY SCHOOL DISTRICT,2013-14,103,81.6%,4.9%,1.0%,12.6%,1.0%,9.7%,1.9%,0.0%,89.3%,89.3%,88.3%,86.4%,86.4%,86.4%,84,5,1,13,1,10,2,0,11,11,12,14,14,14
WILBUR SCHOOL DISTRICT,2013-14,15,66.7%,6.7%,0.0%,26.7%,0.0%,26.7%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,80.0%,73.3%,10,1,0,4,0,4,0,0,3,3,3,3,3,4
WILLAPA VALLEY SCHOOL DISTRICT,2013-14,29,93.1%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.1%,27,2,0,0,0,0,0,0,0,0,0,0,0,2
WILSON CREEK SCHOOL DISTRICT,2013-14,12,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,91.7%,75.0%,8,0,4,0,0,0,0,0,3,3,3,3,1,3
WINLOCK SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WISHKAH VALLEY SCHOOL DISTRICT,2013-14,8,62.5%,0.0%,12.5%,25.0%,0.0%,25.0%,0.0%,0.0%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,5,0,1,2,0,2,0,0,3,3,3,3,3,3
WISHRAM SCHOOL DISTRICT,2013-14,5,40.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,40.0%,40.0%,100.0%,40.0%,2,0,3,0,0,0,0,0,3,3,3,3,0,3
WOODLAND SCHOOL DISTRICT,2013-14,154,87.0%,1.3%,6.5%,5.2%,0.6%,3.2%,1.3%,0.0%,89.6%,89.0%,89.0%,90.3%,92.9%,89.0%,134,2,10,8,1,5,2,0,16,17,17,15,11,17
YAKIMA SCHOOL DISTRICT,2013-14,1466,82.1%,1.0%,16.2%,0.8%,0.1%,0.5%,0.0%,0.1%,88.3%,88.2%,89.9%,88.2%,92.8%,88.5%,1203,15,237,11,2,8,0,1,172,173,148,173,105,169
YELM SCHOOL DISTRICT,2013-14,410,76.6%,2.9%,17.3%,3.2%,1.5%,1.0%,0.5%,0.2%,83.9%,83.7%,86.8%,86.1%,89.3%,85.4%,314,12,71,13,6,4,2,1,66,67,54,57,44,60
ZILLAH SCHOOL DISTRICT,2013-14,95,95.8%,1.1%,1.1%,2.1%,0.0%,2.1%,0.0%,0.0%,96.8%,96.8%,96.8%,96.8%,96.8%,95.8%,91,1,1,2,0,2,0,0,3,3,3,3,3,4
