County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Lane,Roosevelt Middle School,FULL SCHOOL GRADES K-12,551,515,93%,517,94%,524,95%,528,96%,517,94%,519,94%,551,505,92%,495,90%,48,9%,35,6%,34,6%,27,5%,34,6%,23,4%,23,4%,31,6%,39,7%,18,3%,0,0%,0,0%,2
Lane,Saraha Children's School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane,Shasta Middle School,FULL SCHOOL GRADES K-12,419,408,97%,413,99%,411,98%,411,98%,411,98%,413,99%,419,411,98%,406,97%,11,3%,10,2%,6,1%,7,2%,8,2%,8,2%,8,2%,6,1%,7,2%,6,1%,0,0%,0,0%,0
Lane,Sheldon High School,FULL SCHOOL GRADES K-12,"1,352","1,334",99%,"1,332",99%,"1,333",99%,"1,336",99%,"1,333",99%,"1,335",99%,678,660,97%,"1,319",98%,24,2%,16,1%,18,1%,18,1%,17,1%,15,1%,15,1%,16,1%,13,2%,12,1%,0,0%,1,0%,9
Lane,Siuslaw Elementary School,FULL SCHOOL GRADES K-12,599,579,97%,576,96%,581,97%,582,97%,577,96%,580,97%,599,568,95%,567,95%,25,4%,20,3%,23,4%,18,3%,22,4%,17,3%,17,3%,19,3%,20,3%,13,2%,0,0%,0,0%,0
Lane,Siuslaw High School,FULL SCHOOL GRADES K-12,395,367,93%,382,97%,385,97%,386,98%,379,96%,384,97%,202,183,91%,346,88%,15,4%,14,4%,11,3%,10,3%,13,3%,9,2%,9,2%,11,3%,7,3%,9,2%,0,0%,0,0%,15
Lane,Siuslaw Middle School,FULL SCHOOL GRADES K-12,346,323,93%,323,93%,323,93%,323,93%,323,93%,323,93%,346,320,92%,323,93%,23,7%,23,7%,23,7%,23,7%,23,7%,23,7%,23,7%,23,7%,23,7%,23,7%,0,0%,0,0%,3
Lane,South Eugene High School,FULL SCHOOL GRADES K-12,"1,440","1,290",90%,"1,320",92%,"1,344",93%,"1,330",92%,"1,303",90%,"1,309",91%,777,677,87%,"1,248",87%,178,12%,148,10%,120,8%,95,7%,136,9%,109,8%,109,8%,130,9%,93,12%,81,6%,0,0%,2,0%,6
Lane,Spencer Butte Middle School,FULL SCHOOL GRADES K-12,424,398,94%,394,93%,404,95%,402,95%,398,94%,395,93%,424,392,92%,380,90%,37,9%,26,6%,30,7%,19,4%,23,5%,21,5%,21,5%,28,7%,29,7%,15,4%,0,0%,3,1%,0
Lane,Spring Creek Elementary School,FULL SCHOOL GRADES K-12,282,270,96%,270,96%,273,97%,273,97%,270,96%,274,97%,282,267,95%,264,94%,15,5%,9,3%,11,4%,9,3%,12,4%,9,3%,9,3%,7,2%,14,5%,7,2%,0,0%,0,0%,0
Lane,Springfield Christian Kindergarten and Preschool,FULL SCHOOL GRADES K-12,12,12,100%,12,100%,12,100%,12,100%,12,100%,12,100%,12,12,100%,12,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Lane,Springfield High School,FULL SCHOOL GRADES K-12,"1,266","1,247",98%,"1,249",99%,"1,257",99%,"1,261",100%,"1,256",99%,"1,250",99%,663,644,97%,"1,234",97%,22,2%,16,1%,14,1%,8,1%,10,1%,5,0%,5,0%,11,1%,9,1%,4,0%,0,0%,0,0%,8
Lane,SPS Night School,FULL SCHOOL GRADES K-12,13,13,100%,13,100%,13,100%,13,100%,13,100%,13,100%,<10,,,13,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Lane,SPS On-Line Elementary,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane,SPS On-Line High,FULL SCHOOL GRADES K-12,29,29,100%,29,100%,29,100%,29,100%,29,100%,28,97%,<10,,,28,97%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,61
Lane,SPS On-Line Middle,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane,St Paul Parish School,FULL SCHOOL GRADES K-12,240,235,98%,236,98%,237,99%,237,99%,237,99%,235,98%,240,236,98%,234,98%,6,3%,5,2%,4,2%,3,1%,3,1%,3,1%,3,1%,5,2%,4,2%,3,1%,0,0%,0,0%,0
Lane,St Thomas Becket Academy,FULL SCHOOL GRADES K-12,46,22,48%,22,48%,22,48%,22,48%,22,48%,22,48%,46,22,48%,22,48%,24,52%,22,48%,24,52%,24,52%,24,52%,24,52%,24,52%,24,52%,24,52%,22,48%,0,0%,0,0%,0
Lane,Territorial Elementary,FULL SCHOOL GRADES K-12,145,142,98%,143,99%,143,99%,141,97%,141,97%,141,97%,145,142,98%,139,96%,6,4%,2,1%,2,1%,2,1%,4,3%,4,3%,4,3%,4,3%,3,2%,1,1%,0,0%,0,0%,0
Lane,Thurston Elementary,FULL SCHOOL GRADES K-12,471,457,97%,456,97%,460,98%,461,98%,457,97%,458,97%,471,456,97%,454,96%,14,3%,13,3%,13,3%,11,2%,13,3%,10,2%,10,2%,13,3%,13,3%,10,2%,0,0%,0,0%,0
Lane,Thurston High School,FULL SCHOOL GRADES K-12,"1,219","1,207",99%,"1,209",99%,"1,213",100%,"1,213",100%,"1,209",99%,"1,210",99%,611,602,99%,"1,204",99%,13,1%,12,1%,10,1%,6,0%,10,1%,6,0%,6,0%,9,1%,7,1%,6,0%,0,0%,0,0%,5
Lane,Thurston Middle School,FULL SCHOOL GRADES K-12,551,531,96%,533,97%,537,97%,540,98%,533,97%,539,98%,551,535,97%,527,96%,21,4%,19,3%,17,3%,13,2%,17,3%,9,2%,9,2%,10,2%,14,3%,8,1%,0,0%,1,0%,0
Lane,Triangle Lake Charter Elementary School,FULL SCHOOL GRADES K-12,113,91,81%,94,83%,93,82%,92,81%,91,81%,92,81%,113,91,81%,84,74%,24,21%,20,18%,17,15%,20,18%,20,18%,21,19%,21,19%,20,18%,19,17%,17,15%,0,0%,0,0%,0
Lane,Triangle Lake Charter Middle School,FULL SCHOOL GRADES K-12,66,61,92%,62,94%,62,94%,61,92%,61,92%,61,92%,66,60,91%,58,88%,7,11%,6,9%,5,8%,4,6%,5,8%,5,8%,5,8%,6,9%,7,11%,4,6%,0,0%,0,0%,0
Lane,Triangle Lane Charter HS,FULL SCHOOL GRADES K-12,57,47,82%,51,89%,49,86%,50,88%,50,88%,49,86%,35,30,86%,46,81%,11,19%,11,19%,7,12%,8,14%,8,14%,8,14%,8,14%,9,16%,6,17%,7,12%,0,0%,0,0%,0
Lane,Twin Oaks Elementary School,FULL SCHOOL GRADES K-12,221,215,97%,216,98%,218,99%,218,99%,216,98%,217,98%,221,216,98%,212,96%,6,3%,4,2%,4,2%,3,1%,5,2%,3,1%,3,1%,3,1%,4,2%,3,1%,0,0%,0,0%,0
Lane,Twin Rivers Charter School,FULL SCHOOL GRADES K-12,38,36,95%,36,95%,36,95%,36,95%,36,95%,36,95%,10,10,100%,36,95%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,5%,0,0%,2
Lane,Two Rivers Dos Rios Elementary,FULL SCHOOL GRADES K-12,463,452,98%,453,98%,453,98%,454,98%,452,98%,454,98%,463,450,97%,448,97%,12,3%,10,2%,10,2%,10,2%,10,2%,9,2%,9,2%,9,2%,11,2%,9,2%,0,0%,0,0%,0
Lane,Veneta Elementary School,FULL SCHOOL GRADES K-12,362,349,96%,352,97%,351,97%,350,97%,350,97%,353,98%,362,349,96%,346,96%,13,4%,13,4%,12,3%,11,3%,12,3%,12,3%,12,3%,9,2%,12,3%,9,2%,0,0%,0,0%,0
Lane,Village School,FULL SCHOOL GRADES K-12,225,96,43%,91,40%,149,66%,113,50%,97,43%,93,41%,225,91,40%,75,33%,150,67%,129,57%,134,60%,76,34%,128,57%,112,50%,112,50%,132,59%,134,60%,65,29%,0,0%,0,0%,0
Lane,Walterville Elementary,FULL SCHOOL GRADES K-12,168,162,96%,163,97%,164,98%,164,98%,163,97%,164,98%,168,164,98%,162,96%,5,3%,5,3%,5,3%,4,2%,5,3%,4,2%,4,2%,4,2%,4,2%,4,2%,0,0%,0,0%,0
Lane,Wellsprings Friends School,FULL SCHOOL GRADES K-12,49,47,96%,47,96%,47,96%,47,96%,47,96%,47,96%,20,20,100%,47,96%,2,4%,2,4%,2,4%,2,4%,2,4%,2,4%,2,4%,2,4%,0,0%,2,4%,0,0%,0,0%,0
Lane,West Lane Technical Learning Center,FULL SCHOOL GRADES K-12,82,81,99%,81,99%,81,99%,81,99%,81,99%,81,99%,28,28,100%,81,99%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,1,1%,0,0%,0,0%,0
Lane,Willagillespie Elementary School,FULL SCHOOL GRADES K-12,478,464,97%,461,96%,466,97%,468,98%,462,97%,464,97%,478,461,96%,455,95%,19,4%,12,3%,16,3%,12,3%,14,3%,9,2%,9,2%,13,3%,13,3%,8,2%,0,0%,0,0%,0
Lane,Willamette Christian School,FULL SCHOOL GRADES K-12,141,128,91%,128,91%,132,94%,130,92%,127,90%,132,94%,141,128,91%,124,88%,17,12%,13,9%,13,9%,9,6%,14,10%,11,8%,11,8%,9,6%,13,9%,8,6%,0,0%,0,0%,0
Lane,Willamette High School,FULL SCHOOL GRADES K-12,"1,427","1,409",99%,"1,413",99%,"1,415",99%,"1,413",99%,"1,411",99%,"1,413",99%,791,775,98%,"1,398",98%,19,1%,15,1%,9,1%,10,1%,13,1%,13,1%,13,1%,8,1%,10,1%,7,0%,0,0%,1,0%,0
Lane,Willamette Leadership Academy-High School,FULL SCHOOL GRADES K-12,124,122,98%,123,99%,123,99%,123,99%,122,98%,124,100%,78,77,99%,120,97%,2,2%,1,1%,1,1%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0
Lane,Willamette Leadership Academy-Middle,FULL SCHOOL GRADES K-12,157,153,97%,154,98%,155,99%,155,99%,154,98%,155,99%,157,154,98%,153,97%,4,3%,4,3%,3,2%,2,1%,3,2%,2,1%,2,1%,2,1%,3,2%,2,1%,0,0%,0,0%,0
Lane,Yolanda Elementary,FULL SCHOOL GRADES K-12,394,387,98%,387,98%,388,98%,387,98%,387,98%,388,98%,394,388,98%,386,98%,7,2%,7,2%,7,2%,6,2%,7,2%,6,2%,6,2%,6,2%,6,2%,6,2%,0,0%,0,0%,0
Lane,Yujin Gakuen Elementary,FULL SCHOOL GRADES K-12,314,299,95%,296,94%,297,95%,304,97%,295,94%,298,95%,314,299,95%,294,94%,20,6%,15,5%,17,5%,17,5%,19,6%,10,3%,10,3%,15,5%,15,5%,9,3%,0,0%,0,0%,0
Lincoln,Crestview Heights,FULL SCHOOL GRADES K-12,345,327,95%,327,95%,331,96%,335,97%,329,95%,327,95%,345,320,93%,313,91%,23,7%,15,4%,16,5%,14,4%,16,5%,10,3%,10,3%,15,4%,18,5%,9,3%,0,0%,0,0%,0
Lincoln,Eddyville Elementary School,FULL SCHOOL GRADES K-12,94,89,95%,89,95%,92,98%,92,98%,91,97%,92,98%,94,89,95%,86,91%,4,4%,3,3%,3,3%,1,1%,1,1%,1,1%,1,1%,1,1%,2,2%,1,1%,1,1%,1,1%,0
Lincoln,Eddyville Secondary Charter School,FULL SCHOOL GRADES K-12,112,103,92%,109,97%,110,98%,110,98%,110,98%,110,98%,94,91,97%,102,91%,3,3%,3,3%,2,2%,2,2%,2,2%,2,2%,2,2%,2,2%,2,2%,2,2%,0,0%,0,0%,0
Lincoln,LC Career Tech High School,FULL SCHOOL GRADES K-12,50,48,96%,50,100%,50,100%,50,100%,50,100%,50,100%,23,23,100%,48,96%,2,4%,2,4%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Lincoln,Newport High,FULL SCHOOL GRADES K-12,652,627,96%,637,98%,646,99%,646,99%,643,99%,640,98%,319,306,96%,619,95%,21,3%,18,3%,8,1%,6,1%,9,1%,6,1%,6,1%,8,1%,6,2%,5,1%,0,0%,1,0%,0
Lincoln,Newport Middle,FULL SCHOOL GRADES K-12,484,470,97%,471,97%,477,99%,476,98%,473,98%,470,97%,484,468,97%,464,96%,13,3%,11,2%,9,2%,7,1%,10,2%,8,2%,8,2%,9,2%,10,2%,5,1%,0,0%,0,0%,0
Lincoln,Oceanlake Elementary,FULL SCHOOL GRADES K-12,399,361,90%,365,91%,394,99%,379,95%,366,92%,376,94%,399,368,92%,355,89%,32,8%,28,7%,28,7%,5,1%,29,7%,20,5%,20,5%,21,5%,25,6%,4,1%,0,0%,0,0%,0
Lincoln,OLALLA CENTER / LCSD,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Sam Case Elementary,FULL SCHOOL GRADES K-12,474,461,97%,461,97%,465,98%,465,98%,461,97%,460,97%,474,454,96%,453,96%,13,3%,10,2%,11,2%,9,2%,12,3%,9,2%,9,2%,11,2%,12,3%,9,2%,0,0%,0,0%,0
Lincoln,"Seventh Day Adventist School, Lincoln City",FULL SCHOOL GRADES K-12,31,31,100%,30,97%,29,94%,31,100%,31,100%,31,100%,31,29,94%,29,94%,2,6%,0,0%,0,0%,2,6%,0,0%,0,0%,0,0%,0,0%,2,6%,0,0%,0,0%,0,0%,0
Lincoln,Siletz Valley  Charter School,FULL SCHOOL GRADES K-12,132,129,98%,130,98%,131,99%,131,99%,130,98%,131,99%,132,128,97%,127,96%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,0,0%,0
Lincoln,Siletz Valley Early College Academy,FULL SCHOOL GRADES K-12,80,80,100%,80,100%,80,100%,80,100%,80,100%,79,99%,38,38,100%,79,99%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Lincoln,St James Santiago School,FULL SCHOOL GRADES K-12,45,45,100%,40,89%,41,91%,42,93%,42,93%,41,91%,45,41,91%,39,87%,6,13%,0,0%,5,11%,4,9%,3,7%,3,7%,3,7%,5,11%,4,9%,0,0%,0,0%,0,0%,0
Lincoln,Taft Elementary,FULL SCHOOL GRADES K-12,562,541,96%,540,96%,546,97%,546,97%,540,96%,548,98%,562,539,96%,532,95%,20,4%,17,3%,18,3%,12,2%,18,3%,12,2%,12,2%,10,2%,13,2%,8,1%,2,0%,2,0%,0
Lincoln,Taft High,FULL SCHOOL GRADES K-12,465,452,97%,459,99%,459,99%,460,99%,460,99%,459,99%,237,227,96%,447,96%,16,3%,13,3%,6,1%,6,1%,5,1%,5,1%,5,1%,6,1%,8,3%,5,1%,0,0%,0,0%,0
Lincoln,Taft Middle School,FULL SCHOOL GRADES K-12,259,242,93%,248,96%,252,97%,254,98%,251,97%,253,98%,259,247,95%,237,92%,17,7%,15,6%,9,3%,7,3%,8,3%,5,2%,5,2%,6,2%,10,4%,4,2%,0,0%,1,0%,0
Lincoln,Toledo Elementary,FULL SCHOOL GRADES K-12,433,425,98%,424,98%,428,99%,427,99%,424,98%,424,98%,433,424,98%,421,97%,10,2%,8,2%,9,2%,5,1%,9,2%,6,1%,6,1%,8,2%,8,2%,4,1%,0,0%,0,0%,1
Lincoln,Toledo High School,FULL SCHOOL GRADES K-12,204,200,98%,201,99%,202,99%,202,99%,201,99%,201,99%,120,119,99%,200,98%,4,2%,4,2%,3,1%,2,1%,3,1%,2,1%,2,1%,3,1%,1,1%,2,1%,0,0%,0,0%,0
Lincoln,Toledo Junior High,FULL SCHOOL GRADES K-12,115,114,99%,115,100%,115,100%,115,100%,115,100%,114,99%,115,114,99%,112,97%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Lincoln,Waldport High School,FULL SCHOOL GRADES K-12,187,177,95%,177,95%,182,97%,182,97%,179,96%,178,95%,99,89,90%,172,92%,8,4%,5,3%,5,3%,4,2%,5,3%,3,2%,3,2%,5,3%,5,5%,3,2%,1,1%,0,0%,0
Lincoln,WALDPORT MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,80,72,90%,74,93%,74,93%,75,94%,74,93%,74,93%,80,73,91%,70,88%,6,8%,5,6%,4,5%,4,5%,4,5%,3,4%,3,4%,4,5%,4,5%,3,4%,2,3%,0,0%,0
Lincoln,YAQUINA VIEW ELEMENTARY,FULL SCHOOL GRADES K-12,449,432,96%,433,96%,438,98%,440,98%,437,97%,434,97%,449,429,96%,423,94%,8,2%,6,1%,6,1%,6,1%,5,1%,3,1%,3,1%,6,1%,4,1%,0,0%,4,1%,0,0%,1
Linn,ALBANY CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,176,156,89%,158,90%,159,90%,158,90%,158,90%,159,90%,176,158,90%,156,89%,16,9%,14,8%,12,7%,12,7%,12,7%,12,7%,12,7%,11,6%,12,7%,10,6%,0,0%,0,0%,0
Linn,ALBANY ONLINE,FULL SCHOOL GRADES K-12,65,62,95%,61,94%,63,97%,63,97%,61,94%,62,95%,54,50,93%,59,91%,5,8%,3,5%,4,6%,2,3%,4,6%,2,3%,2,3%,3,5%,3,6%,2,3%,0,0%,0,0%,0
Linn,ALBANY OPTIONS SCHOOL,FULL SCHOOL GRADES K-12,116,113,97%,116,100%,113,97%,113,97%,113,97%,113,97%,16,15,94%,112,97%,3,3%,3,3%,3,3%,3,3%,3,3%,3,3%,3,3%,3,3%,0,0%,3,3%,0,0%,0,0%,0
Linn,BROWNSVILLE MENNONITE SCHOOL,FULL SCHOOL GRADES K-12,39,24,62%,24,62%,24,62%,24,62%,24,62%,24,62%,32,19,59%,24,62%,15,38%,15,38%,15,38%,15,38%,15,38%,15,38%,15,38%,15,38%,15,47%,15,38%,0,0%,0,0%,0
Linn,CALAPOOIA MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,628,619,99%,620,99%,620,99%,621,99%,620,99%,622,99%,628,616,98%,610,97%,13,2%,8,1%,8,1%,8,1%,8,1%,7,1%,7,1%,6,1%,8,1%,2,0%,0,0%,0,0%,0
Linn,CASCADES SCHOOL,FULL SCHOOL GRADES K-12,320,304,95%,304,95%,306,96%,308,96%,304,95%,306,96%,320,305,95%,303,95%,17,5%,16,5%,16,5%,14,4%,16,5%,12,4%,12,4%,14,4%,15,5%,11,3%,0,0%,0,0%,0
Linn,CENTENNIAL ELEMENTARY,FULL SCHOOL GRADES K-12,318,311,98%,312,98%,310,97%,309,97%,309,97%,312,98%,318,310,97%,305,96%,13,4%,7,2%,6,2%,8,3%,9,3%,1,0%,1,0%,6,2%,8,3%,0,0%,0,0%,0,0%,0
Linn,CENTRAL ELEMENTARY,FULL SCHOOL GRADES K-12,131,128,98%,128,98%,128,98%,129,98%,128,98%,128,98%,131,127,97%,126,96%,5,4%,3,2%,3,2%,4,3%,3,2%,2,2%,2,2%,3,2%,4,3%,2,2%,0,0%,0,0%,0
Linn,CENTRAL LINN ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,335,313,93%,311,93%,314,94%,314,94%,314,94%,312,93%,335,307,92%,301,90%,26,8%,20,6%,23,7%,20,6%,20,6%,17,5%,17,5%,22,7%,24,7%,14,4%,0,0%,1,0%,0
Linn,CENTRAL LINN MIDDLE/HIGH SCHOOL,FULL SCHOOL GRADES K-12,342,317,93%,303,89%,319,93%,317,93%,317,93%,317,93%,225,206,92%,296,87%,25,7%,24,7%,22,6%,22,6%,24,7%,23,7%,23,7%,24,7%,16,7%,22,6%,1,0%,0,0%,0
Linn,CENTRAL VALLEY CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,37,32,86%,32,86%,33,89%,32,86%,32,86%,34,92%,37,25,68%,31,84%,6,16%,5,14%,5,14%,4,11%,5,14%,5,14%,5,14%,3,8%,6,16%,1,3%,0,0%,0,0%,0
Linn,CLOVER RIDGE ELEMENTARY,FULL SCHOOL GRADES K-12,354,344,97%,346,98%,349,99%,349,99%,346,98%,348,98%,354,345,97%,340,96%,8,2%,7,2%,7,2%,4,1%,7,2%,5,1%,5,1%,6,2%,7,2%,4,1%,0,0%,2,1%,0
Linn,EAST LINN CHRISTIAN ACADEMY,FULL SCHOOL GRADES K-12,346,329,95%,329,95%,329,95%,329,95%,329,95%,329,95%,278,261,94%,329,95%,17,5%,17,5%,17,5%,17,5%,17,5%,17,5%,17,5%,17,5%,17,6%,17,5%,0,0%,0,0%,0
Linn,EVERGREEN MENNONITE SCHOOL,FULL SCHOOL GRADES K-12,30,29,97%,30,100%,30,100%,30,100%,29,97%,30,100%,30,29,97%,29,97%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Linn,FOSTER ELEMENTARY,FULL SCHOOL GRADES K-12,366,351,96%,352,96%,353,96%,347,95%,347,95%,355,97%,366,345,94%,342,93%,20,5%,14,4%,14,4%,13,4%,17,5%,12,3%,12,3%,11,3%,18,5%,7,2%,0,0%,1,0%,0
Linn,GREEN ACRES SCHOOL,FULL SCHOOL GRADES K-12,324,314,97%,314,97%,315,97%,317,98%,315,97%,311,96%,324,312,96%,307,95%,12,4%,5,2%,6,2%,6,2%,5,2%,4,1%,4,1%,10,3%,8,2%,4,1%,3,1%,1,0%,0
Linn,HAMILTON CREEK SCHOOL,FULL SCHOOL GRADES K-12,327,305,93%,308,94%,314,96%,315,96%,308,94%,314,96%,327,303,93%,298,91%,23,7%,16,5%,17,5%,13,4%,19,6%,12,4%,12,4%,12,4%,20,6%,11,3%,0,0%,1,0%,0
Linn,HARRISBURG ELEMENTARY,FULL SCHOOL GRADES K-12,377,357,95%,358,95%,364,97%,365,97%,358,95%,360,95%,377,359,95%,354,94%,20,5%,18,5%,18,5%,13,3%,19,5%,12,3%,12,3%,16,4%,16,4%,11,3%,0,0%,0,0%,0
Linn,HARRISBURG HIGH SCHOOL,FULL SCHOOL GRADES K-12,245,234,96%,239,98%,241,98%,240,98%,239,98%,239,98%,119,115,97%,234,96%,10,4%,10,4%,7,3%,4,2%,5,2%,6,2%,5,2%,5,2%,6,5%,4,2%,0,0%,1,0%,1
Linn,Harrisburg Middle School,FULL SCHOOL GRADES K-12,181,172,95%,178,98%,179,99%,179,99%,178,98%,176,97%,181,178,98%,170,94%,10,6%,9,5%,3,2%,2,1%,3,2%,2,1%,2,1%,4,2%,3,2%,2,1%,0,0%,0,0%,0
Linn,HAWTHORNE ELEMENTARY,FULL SCHOOL GRADES K-12,374,364,97%,362,97%,367,98%,363,97%,363,97%,368,98%,374,364,97%,353,94%,10,3%,7,2%,7,2%,6,2%,7,2%,4,1%,4,1%,4,1%,5,1%,4,1%,1,0%,1,0%,0
Linn,HOLLEY ELEMENTARY,FULL SCHOOL GRADES K-12,153,147,96%,147,96%,148,97%,147,96%,147,96%,148,97%,153,147,96%,147,96%,6,4%,6,4%,6,4%,5,3%,6,4%,5,3%,5,3%,5,3%,6,4%,5,3%,0,0%,0,0%,0
Linn,LACOMB SCHOOL,FULL SCHOOL GRADES K-12,231,213,92%,216,94%,220,95%,220,95%,216,94%,219,95%,231,218,94%,211,91%,18,8%,16,7%,15,6%,11,5%,15,6%,11,5%,11,5%,12,5%,13,6%,10,4%,0,0%,1,0%,0
Linn,LAFAYETTE ELEMENTARY,FULL SCHOOL GRADES K-12,321,315,98%,314,98%,315,98%,316,98%,313,98%,316,98%,321,314,98%,312,97%,7,2%,6,2%,6,2%,6,2%,7,2%,5,2%,5,2%,5,2%,7,2%,5,2%,0,0%,0,0%,0
Linn,LAKE CREEK MENNONITE SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,LEBANON HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,252","1,215",97%,"1,224",98%,"1,230",98%,"1,234",99%,"1,227",98%,"1,228",98%,606,588,97%,"1,201",96%,39,3%,30,2%,22,2%,14,1%,18,1%,12,1%,12,1%,16,1%,13,2%,11,1%,3,0%,0,0%,2
Linn,LEBANON I-SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,LIBERTY ELEMENTARY,FULL SCHOOL GRADES K-12,339,331,98%,331,98%,332,98%,334,99%,332,98%,331,98%,339,330,97%,328,97%,10,3%,8,2%,8,2%,7,2%,7,2%,5,1%,5,1%,8,2%,8,2%,5,1%,0,0%,0,0%,0
Linn,LIFEGATE CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,21,13,62%,13,62%,13,62%,13,62%,13,62%,13,62%,13,5,38%,13,62%,8,38%,8,38%,8,38%,8,38%,8,38%,8,38%,8,38%,8,38%,8,62%,8,38%,0,0%,0,0%,0
Linn,Lighthouse Mennonite School,FULL SCHOOL GRADES K-12,39,22,56%,23,59%,23,59%,24,62%,22,56%,23,59%,36,20,56%,20,51%,18,46%,17,44%,15,38%,15,38%,16,41%,15,38%,15,38%,15,38%,15,42%,14,36%,0,0%,0,0%,0
Linn,LINN COUNTY JUVENILE DETENTION,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,LOURDES,FULL SCHOOL GRADES K-12,48,43,90%,43,90%,42,88%,44,92%,42,88%,44,92%,48,44,92%,41,85%,7,15%,5,10%,5,10%,6,13%,6,13%,4,8%,4,8%,4,8%,4,8%,4,8%,0,0%,0,0%,0
Linn,MARI-LINN,FULL SCHOOL GRADES K-12,212,197,93%,199,94%,206,97%,206,97%,201,95%,205,97%,212,202,95%,196,92%,14,7%,13,6%,12,6%,6,3%,11,5%,6,3%,6,3%,7,3%,10,5%,6,3%,0,0%,0,0%,0
Linn,MEMORIAL MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,560,548,98%,548,98%,552,99%,553,99%,548,98%,554,99%,560,551,98%,543,97%,17,3%,12,2%,12,2%,8,1%,12,2%,7,1%,7,1%,6,1%,9,2%,5,1%,0,0%,0,0%,0
